,unsmoothed,unsmoothed,unsmoothed,smoothed,smoothed,smoothed
,pixel_count,ratio,% total,pixel_count,ratio,% total
cluster,,,,,,
0,36940,0.02359554150298617,2.3595541502986173,453125,0.28943502283542527,28.94350228354253
1,173056,0.11054006579157484,11.054006579157484,94661,0.06046501229599821,6.046501229599821
2,212125,0.13549551275909424,13.549551275909424,174791,0.11164830251349366,11.164830251349365
3,66360,0.04238765928906774,4.2387659289067745,214920,0.13728082782408738,13.728082782408737
4,281514,0.17981795535115455,17.981795535115456,14254,0.009104787454888059,0.9104787454888059
5,255889,0.1634499057839098,16.34499057839098,115361,0.07368720258056274,7.368720258056275
6,539666,0.34471335952221266,34.47133595222127,498438,0.3183788444955447,31.837884449554473
