,unsmoothed,unsmoothed,unsmoothed,smoothed,smoothed,smoothed
,pixel_count,ratio,% total,pixel_count,ratio,% total
cluster,,,,,,
0,25075,0.016016735332630705,1.6016735332630705,102477,0.06545750694644055,6.545750694644055
1,214297,0.13688288460924275,13.688288460924275,424250,0.2709910255181885,27.09910255181885
2,172573,0.11023154801826834,11.023154801826834,31813,0.020320654083229535,2.0320654083229535
3,39141,0.02500143719459615,2.500143719459615,123153,0.07866436715531283,7.866436715531283
4,342517,0.2187838139950816,21.87838139950816,202958,0.12964006259780908,12.964006259780907
5,165049,0.10542556928874837,10.542556928874838,170039,0.10861294752642842,10.861294752642841
6,452295,0.288904857717735,28.8904857717735,374444,0.23917728593784932,23.917728593784933
7,35358,0.022585034013605444,2.2585034013605445,125610,0.08023378365430679,8.023378365430679
8,119245,0.07616811983009165,7.616811983009166,10806,0.006902366580434991,0.6902366580434991
