,unsmoothed,unsmoothed,unsmoothed,smoothed,smoothed,smoothed
,pixel_count,ratio,% total,pixel_count,ratio,% total
cluster,,,,,,
0,338455,0.2161891986841685,21.61891986841685,15253,0.009742901855577912,0.9742901855577912
1,94386,0.0602893551786912,6.02893551786912,66167,0.042264379930375906,4.226437993037591
2,19202,0.012265338060106672,1.2265338060106672,77062,0.04922359554150298,4.922359554150298
3,191251,0.12216217942576091,12.21621794257609,133698,0.08540001916259461,8.540001916259461
4,554119,0.3539452588547156,35.39452588547156,120964,0.07726613650154898,7.726613650154898
5,185108,0.11823831880169908,11.823831880169907,503132,0.321377151799687,32.1377151799687
6,21574,0.013780460541023921,1.3780460541023922,215495,0.1376481108875475,13.76481108875475
7,95147,0.06077544632876625,6.0775446328766245,122219,0.07806777170962281,7.806777170962281
8,66308,0.04235444412506787,4.235444412506787,311560,0.19900993261154226,19.900993261154227
