,unsmoothed,unsmoothed,unsmoothed,smoothed,smoothed,smoothed
,pixel_count,ratio,% total,pixel_count,ratio,% total
cluster,,,,,,
0,305113,0.19489189102871196,19.489189102871197,116972,0.07471623391140493,7.4716233911404935
1,19188,0.01225639551595286,1.225639551595286,391517,0.25008271853342273,25.008271853342272
2,156265,0.09981476158538533,9.981476158538532,220264,0.1406943246782281,14.069432467822809
3,48901,0.03123566797611063,3.1235667976110633,175606,0.11216888633387627,11.216888633387628
4,21105,0.013480885311871227,1.3480885311871227,388812,0.24835489125227556,24.835489125227557
5,232082,0.1482431094503529,14.82431094503529,125646,0.08025677876784516,8.025677876784517
6,65853,0.04206381144006899,4.206381144006899,25733,0.016437034907859856,1.6437034907859855
7,503544,0.3216403180990706,32.164031809907065,13634,0.008708760499504966,0.8708760499504966
8,213499,0.13637315959247548,13.637315959247548,107366,0.06858037111558238,6.858037111558238
